date,shareprice
01-Aug-1994,1.41761379357519
01-Sep-1994,1.39890741741701
01-Oct-1994,1.39442901209269
01-Nov-1994,1.39773636078412
01-Dec-1994,1.4124505677564
01-Jan-1995,1.42906924423512
01-Feb-1995,1.42339749240407
01-Mar-1995,1.43226447753515
01-Apr-1995,1.40733546292302
01-May-1995,1.39809254823009
01-Jun-1995,1.40109898529729
01-Jul-1995,1.38571347511407
01-Aug-1995,1.38127748335576
01-Sep-1995,1.37249343224284
01-Oct-1995,1.36641005006227
01-Nov-1995,1.36789537256072
01-Dec-1995,1.37605766409559
01-Jan-1996,1.37362892860209
01-Feb-1996,1.38075851976161
01-Mar-1996,1.37212140812574
01-Apr-1996,1.36859755228425
01-May-1996,1.37188496106282
01-Jun-1996,1.36724081291945
01-Jul-1996,1.36981056810646
01-Aug-1996,1.36900435682222
01-Sep-1996,1.3666045262304
01-Oct-1996,1.35220019391153
01-Nov-1996,1.34135957966754
01-Dec-1996,1.35274844064549
01-Jan-1997,1.33941761179059
01-Feb-1997,1.34596980258163
01-Mar-1997,1.35263321498524
01-Apr-1997,1.36861761442507
01-May-1997,1.35981073946394
01-Jun-1997,1.36614968859349
01-Jul-1997,1.35761929012167
01-Aug-1997,1.36746059315617
01-Sep-1997,1.36137332798885
01-Oct-1997,1.36297933741938
01-Nov-1997,1.37814141035982
01-Dec-1997,1.38745265857576
01-Jan-1998,1.40054097867183
01-Feb-1998,1.39689332457097
01-Mar-1998,1.3878662754134
01-Apr-1998,1.39485251631692
01-May-1998,1.40180300017626
01-Jun-1998,1.4169497092871
01-Jul-1998,1.43285527290045
01-Aug-1998,1.46968133440331
01-Sep-1998,1.46427625109245
01-Oct-1998,1.49056761095964
01-Nov-1998,1.48444120416909
01-Dec-1998,1.49318976327415
01-Jan-1999,1.47350628467495
01-Feb-1999,1.4597787898776
01-Mar-1999,1.46661035190059
01-Apr-1999,1.44070027097463
01-May-1999,1.42269592222827
01-Jun-1999,1.41964237479571
01-Jul-1999,1.42679619613499
01-Aug-1999,1.4276404095239
01-Sep-1999,1.41733563008174
01-Oct-1999,1.41683721391469
01-Nov-1999,1.40547447800251
01-Dec-1999,1.40753280244041
01-Jan-2000,1.38644966563411
01-Feb-2000,1.38775902826159
01-Mar-2000,1.38699833637384
01-Apr-2000,1.39193238895605
01-May-2000,1.40938753389527
01-Jun-2000,1.39664613585708
01-Jul-2000,1.40127266407152
01-Aug-2000,1.39984582431232
01-Sep-2000,1.40264277250566
01-Oct-2000,1.41933588004154
01-Nov-2000,1.44018079883215
01-Dec-2000,1.4295265331673
01-Jan-2001,1.42158232886879
01-Feb-2001,1.4301333589983
01-Mar-2001,1.45267791037136
01-Apr-2001,1.45344986846883
01-May-2001,1.44739532234645
01-Jun-2001,1.43495452606876
01-Jul-2001,1.43641294338141
01-Aug-2001,1.4379284630268
01-Sep-2001,1.45693575446871
